Sample Name,Signature 1,Signature 2,Signature 3,Signature 5,Signature 6,Signature 8,Signature 13,Signature 17,Signature 18,Signature 20,Signature 26,Signature 30
PD7248,658,0,6213,2634,0,1893,1644,0,0,0,0,0
PD7249,873,1122,0,0,0,1465,1124,0,0,0,0,0
PD7250,645,0,5670,1235,0,0,340,0,0,0,0,0
PD7304,513,191,0,683,0,510,106,0,0,0,0,0
PD7305,1579,420,0,1521,0,0,449,0,787,0,0,0
PD7306,1569,833,0,2422,0,1010,532,0,497,0,0,0
PD7307,0,3282,0,0,0,0,5142,0,0,0,0,0
PD7316,493,67,3598,0,0,1145,344,0,0,0,0,0
PD7321,586,124,3131,1188,0,0,1026,0,0,0,0,0
PD7322,731,48,0,773,0,0,0,0,463,0,0,0
PD7341,885,300,0,946,0,0,634,0,325,0,0,0
PD7344,171,0,0,339,0,125,57,0,30,0,0,0
PD7426,576,0,10544,2364,0,0,5013,0,0,0,0,0
PD7428,573,0,8516,1174,0,4068,1619,0,0,0,0,0
PD8609,998,2838,0,0,0,0,1251,0,0,0,0,0
PD8610,206,259,1704,1160,0,1248,521,0,0,0,0,0
PD8611,398,0,3562,1838,0,0,1030,0,0,0,0,0
PD8612,968,266,0,0,0,644,90,0,0,0,0,0
PD8614,349,100,0,775,0,215,0,0,0,0,0,0
PD8615,611,589,0,1367,0,0,1703,0,0,0,0,0
PD8617,499,85,0,1315,0,0,0,0,0,0,0,0
PD8618,401,53,0,852,0,157,43,0,0,0,0,0
PD8619,927,129,0,1385,0,759,371,0,0,0,0,0
PD8620,536,904,0,0,0,0,1217,0,0,0,0,0
PD8621,598,0,4130,1827,0,890,617,0,0,0,0,0
PD8622,377,96,0,973,0,294,69,0,0,0,0,0
PD8623,423,287,0,1032,0,278,0,0,0,0,0,0
PD8652,1082,287,7935,2828,0,2062,1662,0,0,0,0,0
PD8660,2417,2626,9140,7201,0,0,3421,1323,0,0,0,0
PD8828,520,375,0,839,0,0,327,0,0,0,0,0
PD8830,1567,0,3302,1292,0,1781,304,0,0,0,0,0
PD8832,931,0,14022,3194,0,6620,1296,346,0,0,0,0
PD8964,666,0,5128,2496,0,1960,901,0,0,0,0,0
PD8965,443,524,0,1848,0,1177,459,0,0,0,0,0
PD8969,569,410,3010,1729,0,0,780,0,322,0,0,0
PD8973,1213,1774,0,0,0,0,2921,0,0,0,0,0
PD8977,2155,186,0,1171,0,534,0,0,0,0,0,0
PD8978,984,135,3381,1681,0,0,489,0,0,0,0,0
PD8979,951,346,0,2085,0,440,215,0,0,0,0,0
PD8980,749,0,3704,3866,0,5337,1803,0,0,0,0,0
PD8981,504,143,0,620,0,386,95,0,0,0,0,0
PD8982,1341,0,11357,3246,0,0,5613,0,0,0,0,0
PD8984,1038,200,6942,0,0,0,972,0,0,0,0,0
PD8995,2654,2830,0,0,0,0,2102,0,0,0,0,0
PD8996,1229,146,0,937,0,807,111,0,0,0,0,0
PD8997,961,149,0,1303,0,0,226,0,192,0,0,0
PD8998,0,1237,0,0,0,1214,2318,0,0,0,0,0
PD8999,442,70,0,614,0,221,0,0,0,0,0,0
PD9000,400,440,3809,1650,0,2488,723,0,0,0,0,0
PD9001,705,115,0,1885,0,0,0,0,0,0,0,0
PD9002,476,331,0,4460,0,2076,330,302,501,0,0,0
PD9004,470,0,4480,2833,0,1276,1566,0,0,0,0,0
PD9009,920,2948,0,914,0,1037,8967,424,0,0,0,0
PD9063,0,30448,0,0,0,0,19597,0,0,0,0,0
PD9064,735,0,4548,2357,0,3731,980,0,0,0,0,0
PD9065,531,297,0,761,0,0,0,0,621,0,0,0
PD9067,533,226,0,468,0,216,111,0,0,0,0,0
PD9193,435,50,438,400,0,0,136,0,223,0,0,0
PD9464,661,494,0,2238,0,1152,396,0,310,0,0,0
PD9467,1035,218,0,739,0,471,0,0,0,0,0,0
PD9539,2349,121,0,0,0,930,180,0,0,0,0,0
PD9541,1688,369,0,0,0,649,0,0,0,0,0,0
PD9544,437,101,0,568,0,283,0,0,0,0,0,0
PD9567,943,244,0,1113,0,951,261,0,0,0,0,0
PD9568,1513,0,13307,5318,0,5527,4420,310,0,0,0,0
PD9569,632,0,0,1157,0,253,99,0,0,0,0,0
PD9570,498,301,0,358,0,249,0,0,0,0,0,0
PD9571,700,97,1603,2083,0,0,217,0,0,0,0,0
PD9572,584,181,0,2134,0,0,1184,0,0,0,0,0
PD9573,821,0,0,565,0,230,0,0,0,0,0,0
PD9574,594,61,0,621,0,358,0,0,0,0,0,0
PD9575,506,179,0,4136,0,669,771,239,0,0,0,0
PD9576,713,0,8169,3868,0,4293,795,0,0,0,0,0
PD9577,392,67,0,842,0,323,0,0,0,0,0,0
PD9578,284,40,0,615,0,149,0,0,0,0,0,0
PD9579,397,73,0,803,0,279,82,0,0,0,0,0
PD9581,423,52,0,930,0,211,0,0,0,0,0,0
PD9582,1072,171,830,0,0,525,142,0,0,0,0,0
PD9584,746,132,0,1466,0,341,68,0,0,0,0,0
PD9585,806,0,3856,1740,0,2682,1200,0,0,0,0,0
PD9589,425,177,0,568,0,243,0,0,0,0,0,0
PD9591,460,81,0,596,0,159,0,0,0,0,0,0
PD9592,762,0,6015,0,0,1204,515,0,0,0,0,0
PD9593,424,49,0,992,0,0,39,0,113,0,0,0
PD9595,943,148,4089,1698,0,2492,352,0,0,0,0,0
PD9597,557,1438,0,0,0,0,916,0,0,0,0,0
PD9599,1151,216,0,1632,0,0,296,0,0,0,0,0
PD9600,609,45,0,869,0,439,57,0,0,0,0,0
PD9604,0,0,0,0,1530,0,221,0,0,0,8918,0
PD9605,886,158,0,1329,0,611,88,0,301,0,0,0
PD9606,462,39,0,551,0,170,0,0,0,0,0,0
PD9694,941,0,0,550,0,0,65,0,156,0,0,0
PD9696,463,93,3026,0,0,1499,784,0,0,0,0,0
PD9702,700,0,5968,0,0,0,1193,0,0,0,0,0
PD9752,1147,331,0,972,0,680,346,0,0,0,0,0
PD9754,735,78,0,649,0,435,0,0,0,0,0,0
PD9755,527,137,0,1046,0,0,0,0,0,0,0,0
PD9756,855,1916,0,0,0,0,1441,0,0,0,0,0
PD9759,676,176,0,1078,0,262,0,0,0,0,0,0
PD9760,1178,633,0,1559,0,932,704,0,0,0,0,0
PD9761,746,141,0,1037,0,0,0,0,179,0,0,0
PD9842,705,110,0,2242,0,0,144,0,0,0,0,0
PD9843,400,36,0,1211,0,279,0,0,84,0,0,0
PD9844,95,20,0,285,0,61,0,0,46,0,0,0
PD9845,456,326,0,2208,0,0,157,0,0,0,0,0
PD9847,471,49,0,1369,0,340,0,0,0,0,0,0
